abbr,r2,r
NONCOM_RPY_7YR_RT,0.17358924441573378,0.41664042580591454
NPT4_3075_PRIV,0.17297678305025344,0.4159047764215427
TRANS_L4,0.1717930900162271,-0.4144792998645736
CIP47CERT2,0.17105367473085176,-0.4135863570414911
CIP42BACHL,0.1686052942660426,0.4106157501436624
NOPELL_RPY_5YR_RT,0.16691960555660343,0.40855795862594996
PCIP54,0.1660949785320235,0.4075475169008192
CIP24ASSOC,0.16561448607865561,-0.4069575973964064
NPT43_PRIV,0.16500038686986807,0.4062023964354076
CIP52ASSOC,0.16457057764558988,-0.40567299348809244
PCIP26,0.16438408580730496,0.405443073448425
CIP15CERT2,0.16414919126723687,-0.4051532935411446
CIP52CERT2,0.16022807059368702,-0.4002849867203203
DEP_INC_PCT_H2,0.15972080421881935,0.39965085289389707
MD_INC_RPY_7YR_RT,0.158577358453956,0.3982177274481336
CIP11ASSOC,0.1581998659001969,-0.39774346745131706
PCIP27,0.15719508299427293,0.3964783512302695
FIRSTGEN_RPY_7YR_RT,0.15701270211962867,0.39624828342798996
MD_INC_RPY_5YR_RT,0.15686260207644767,0.3960588366347198
NOPELL_RPY_7YR_RT,0.15533396456288995,0.3941243009037757
PCIP23,0.1542488442819797,0.3927452664030207
CIP45BACHL,0.15409982310872625,0.39255550322053345
CIP48CERT2,0.15214218839283566,-0.3900540839330306
DEP_RPY_3YR_RT_SUPP,0.1512751026673894,0.38894100152515343
DEP_RPY_3YR_RT,0.15096536907333166,0.38854262195199596
CIP15CERT1,0.14969909552845517,-0.386909673604131
CIP43ASSOC,0.14866400706920554,-0.3855697175209764
PCIP24,0.1481292568597831,-0.3848756381739212
IND_INC_PCT_LO,0.1459013105088922,-0.3819703005586851
CIP13ASSOC,0.14483873955530463,-0.3805768510502243
NUM4_PUB,0.14202345305146805,0.3768599913117178
CIP51CERT1,0.14191872283602863,-0.37672101459306545
C150_4_NRA,0.14185051818503316,0.37663047962828655
PFTFTUG1_EF,0.14129268709801399,0.37588919523978603
CIP47CERT1,0.140689862227197,-0.37508647299948983
C150_L4_ASIAN,0.13996177981872865,0.3741146613255469
CIP48CERT1,0.13877869426707296,-0.3725301253148166
DEP_RPY_5YR_RT,0.1378414069183115,0.3712699919442878
C150_4_AIAN,0.13782333076350475,0.37124564746742117
NPT4_048_PRIV,0.13557423975187807,0.3682040735134228
IND_INC_PCT_H1,0.13305210871395026,0.36476308573367217
C150_L4_2MOR,0.1313183842961383,0.3623787856596165
CIP05BACHL,0.1284369365902191,0.3583809936230144
DEP_RPY_7YR_RT,0.1272293734046748,0.35669226709402435
CIP03BACHL,0.1270083846608177,0.3563823573927555
COMPL_RPY_3YR_RT,0.12634468577023458,0.35544997646678017
COMPL_RPY_3YR_RT_SUPP,0.1261233290214796,0.35513846457611375
CIP30BACHL,0.12421858067928984,0.35244656428924065
CIP52CERT1,0.12417289682012778,-0.3523817487046226
C150_4_UNKN,0.12393311530897133,0.3520413545437117
CIP11CERT1,0.12214728171979891,-0.3494957535075339
AVGFACSAL,0.12117645018932711,0.3481040795355997
CIP09BACHL,0.119909143326669,0.34627899636950116
NPT41_PRIV,0.11908183489065023,0.34508235957616007
CIP19ASSOC,0.11896579190503309,-0.34491418049281924
CIP19CERT1,0.11840969230905445,-0.34410709424400776
C150_4_ASIAN,0.11694610400961296,0.3419738352704969
NPT42_PRIV,0.11655051738608704,0.34139495805604253
IND_INC_PCT_M2,0.11552241504371143,0.3398858853258126
UGNONDS,0.11296242510711087,-0.33609883235011523
CIP46CERT2,0.11253800220512411,-0.33546684218432693
IND_RPY_3YR_RT,0.1124129164751322,0.335280355039081
COMPL_RPY_7YR_RT,0.1105074790047798,0.3324266520674595
C150_L4_UNKN,0.10986442031764158,0.3314580219539747
COMPL_RPY_5YR_RT,0.10977780855296583,0.3313273435033182
IND_RPY_3YR_RT_SUPP,0.10884460604366804,0.3299160590872594
D150_L4_POOLED,0.10603438643004796,-0.32562921618007185
IND_RPY_5YR_RT,0.10598842417885553,0.32555863401061186
CIP48ASSOC,0.10566649219063975,-0.32506382787175775
CIP12CERT2,0.1045478244853291,-0.32333856015843376
D150_L4_WHITE,0.10332468807848828,-0.3214415780176676
CIP11CERT2,0.10290564065258648,-0.3207890906071877
D150_L4,0.09915698294059475,-0.31489201790549526
DTRANS_L4,0.09915698294059475,-0.31489201790549526
D100_L4,0.0986445272234957,-0.3140772631431567
NUM4_PRIV,0.09843666796820859,0.31374618398987514
CIP11BACHL,0.09705262407943473,0.3115327014607531
UGDS_NRA,0.09607502216663907,0.30995971055387034
NUM42_PUB,0.09499782060018307,0.3082171646748167
IND_INC_PCT_M1,0.09440055127347734,0.3072467270346054
PCIP16,0.09439148014527785,0.30723196471929454
CIP50ASSOC,0.09426284303124462,-0.3070225448256929
CIP19CERT2,0.09415260518813641,-0.30684296502956754
RET_FT4,0.0941511719015547,0.3068406294830505
CIP43CERT2,0.0941066762793942,-0.30676811483495836
CIP14ASSOC,0.09378795101936742,-0.30624818533236636
CIP43CERT1,0.09350964180428331,-0.30579346265785884
CIP46CERT1,0.09300336554858804,-0.30496453162390547
IND_RPY_7YR_RT,0.09108273467311212,0.30179916281048913
CIP12CERT1,0.09059746619030085,-0.30099412982697993
CIP01ASSOC,0.08983243206352783,-0.2997205899892896
CIP12ASSOC,0.08814010533011338,-0.2968839930513489
CIP46ASSOC,0.08811954976347613,-0.29684937217969004
ADM_RATE_ALL,0.08684573243264063,-0.29469600002823354
ADM_RATE,0.08607610224270233,-0.29338729052687734
C150_L4_NRA,0.08503551647327916,0.2916084986300625
INC_PCT_M1,0.08419187606952187,-0.290158363776614
CIP30ASSOC,0.08389781131794746,-0.2896511890497732
CIP52BACHL,0.08227068589807679,0.28682866993743283
UG25ABV,0.08132826370891082,-0.2851811068582749
DEP_STAT_PCT_IND,0.07765309691213486,-0.2786630526498532
DEPENDENT,0.07765309691213486,0.2786630526498532
NUM42_PRIV,0.07738443705517421,0.2781805835337438
C150_4_NHPI,0.0746567999258337,0.27323396554204915
CIP13BACHL,0.07261523504642864,0.2694721415034004
PCIP42,0.07106481890784844,0.26657985465493905
PCTPELL,0.06393636373859636,-0.2528564093286867
AGE_ENTRY,0.06387167590740565,-0.2527284627963492
PCIP50,0.0630182182247597,0.2510342969093261
CIP10ASSOC,0.06282417238485777,-0.25064750624105114
CIP40ASSOC,0.06263431857315356,-0.25026849296935794
PAR_ED_PCT_MS,0.06253638869385986,-0.250072766797706
PCIP09,0.06241835886969766,0.24983666438234733
CIP26ASSOC,0.06194686282859335,-0.24889126707981007
CIP24BACHL,0.061886622896162244,0.24877022107994004
PCIP40,0.061814208420405754,0.24862463357520662
CIP44ASSOC,0.05958523848966381,-0.24410087769130165
CIP22ASSOC,0.059377938953028106,-0.24367588914996927
CIP01CERT1,0.0585059654703117,-0.2418800642266983
CIP01CERT2,0.05830214642352582,-0.24145837410105664
CIP27ASSOC,0.057946574212503064,-0.2407209467672123
CIP31ASSOC,0.05788384283213813,-0.24059061251873093
D150_L4_2MOR,0.05766438118248476,-0.24013409000490696
C150_L4_AIAN,0.05743770871919647,0.23966165467007122
C150_L4_NHPI,0.05708825579910634,0.2389314876677127
CIP24CERT2,0.056453573671933745,-0.23759960789515994
CIP50CERT1,0.0555156035849835,-0.2356174942252453
CIP09ASSOC,0.055371161801930864,-0.2353107770628682
CIP14BACHL,0.05436562189102561,0.23316436668373153
